tag,kernel_id,block_id,sm_id,t_launch,t_dep_satisfied,t_end
trace_interval,0,76,56,1785763600237593728,1785763600237593728,1785763600237697056
trace_interval,0,77,57,1785763600237593696,1785763600237593696,1785763600237697184
trace_interval,0,78,72,1785763600237593696,1785763600237593696,1785763600237697248
trace_interval,0,79,73,1785763600237593664,1785763600237593664,1785763600237697120
trace_interval,0,80,86,1785763600237593664,1785763600237593664,1785763600237697152
trace_interval,0,81,87,1785763600237593696,1785763600237593696,1785763600237697152
trace_interval,0,82,100,1785763600237593664,1785763600237593664,1785763600237697216
trace_interval,0,83,101,1785763600237593696,1785763600237593696,1785763600237697216
trace_interval,0,84,114,1785763600237593696,1785763600237593696,1785763600237697184
trace_interval,0,85,115,1785763600237593728,1785763600237593728,1785763600237697344
trace_interval,0,86,128,1785763600237593696,1785763600237593696,1785763600237697152
trace_interval,0,87,129,1785763600237593664,1785763600237593664,1785763600237697184
trace_interval,0,88,10,1785763600237593504,1785763600237593504,1785763600237697088
trace_interval,0,89,11,1785763600237593568,1785763600237593568,1785763600237697120
trace_interval,0,90,26,1785763600237593504,1785763600237593504,1785763600237697088
trace_interval,0,91,27,1785763600237593536,1785763600237593536,1785763600237697088
trace_interval,0,92,42,1785763600237593504,1785763600237593504,1785763600237697088
trace_interval,0,93,43,1785763600237593536,1785763600237593536,1785763600237697120
trace_interval,0,94,58,1785763600237593536,1785763600237593536,1785763600237697152
trace_interval,0,95,59,1785763600237593600,1785763600237593600,1785763600237697152
trace_interval,0,96,74,1785763600237593504,1785763600237593504,1785763600237697088
trace_interval,0,97,75,1785763600237593504,1785763600237593504,1785763600237697088
trace_interval,0,98,88,1785763600237593504,1785763600237593504,1785763600237697152
trace_interval,0,99,89,1785763600237593568,1785763600237593568,1785763600237697088
trace_interval,0,100,102,1785763600237593504,1785763600237593504,1785763600237697120
trace_interval,0,101,103,1785763600237593536,1785763600237593536,1785763600237697184
trace_interval,0,102,116,1785763600237593504,1785763600237593504,1785763600237697088
trace_interval,0,103,117,1785763600237593568,1785763600237593568,1785763600237697152
trace_interval,0,104,130,1785763600237593472,1785763600237593472,1785763600237697088
trace_interval,0,105,131,1785763600237593504,1785763600237593504,1785763600237697088
trace_interval,0,106,136,1785763600237593504,1785763600237593504,1785763600237697088
trace_interval,0,107,137,1785763600237593536,1785763600237593536,1785763600237697120
trace_interval,0,108,142,1785763600237593664,1785763600237593664,1785763600237697376
trace_interval,0,109,143,1785763600237593696,1785763600237593696,1785763600237697376
trace_interval,0,110,144,1785763600237593696,1785763600237593696,1785763600237697344
trace_interval,0,111,145,1785763600237593696,1785763600237593696,1785763600237697344
trace_interval,0,112,146,1785763600237593664,1785763600237593664,1785763600237697312
trace_interval,0,113,147,1785763600237593664,1785763600237593664,1785763600237697344
trace_interval,0,114,12,1785763600237593632,1785763600237593632,1785763600237696960
trace_interval,0,115,13,1785763600237593632,1785763600237593632,1785763600237696992
trace_interval,0,116,28,1785763600237593664,1785763600237593664,1785763600237696992
trace_interval,0,117,29,1785763600237593664,1785763600237593664,1785763600237696992
trace_interval,0,118,44,1785763600237593696,1785763600237593696,1785763600237696992
trace_interval,0,119,45,1785763600237593696,1785763600237593696,1785763600237696960
trace_interval,0,120,60,1785763600237593696,1785763600237593696,1785763600237697024
trace_interval,0,121,61,1785763600237593728,1785763600237593728,1785763600237697024
trace_interval,0,122,76,1785763600237593632,1785763600237593632,1785763600237696960
trace_interval,0,123,77,1785763600237593664,1785763600237593664,1785763600237696960
trace_interval,0,124,90,1785763600237593696,1785763600237593696,1785763600237696992
trace_interval,0,125,91,1785763600237593664,1785763600237593664,1785763600237696960
trace_interval,0,126,104,1785763600237593696,1785763600237593696,1785763600237697024
trace_interval,0,127,105,1785763600237593728,1785763600237593728,1785763600237697184
trace_interval,0,128,118,1785763600237593696,1785763600237593696,1785763600237696992
trace_interval,0,129,119,1785763600237593696,1785763600237593696,1785763600237696992
trace_interval,0,130,132,1785763600237593664,1785763600237593664,1785763600237696832
trace_interval,0,131,133,1785763600237593664,1785763600237593664,1785763600237696896
trace_interval,0,132,138,1785763600237593664,1785763600237593664,1785763600237696896
trace_interval,0,133,139,1785763600237593696,1785763600237593696,1785763600237696896
trace_interval,0,134,14,1785763600237593664,1785763600237593664,1785763600237697248
trace_interval,0,135,15,1785763600237593664,1785763600237593664,1785763600237697248
trace_interval,0,136,30,1785763600237593696,1785763600237593696,1785763600237697248
trace_interval,0,137,31,1785763600237593664,1785763600237593664,1785763600237697248
trace_interval,0,138,46,1785763600237593664,1785763600237593664,1785763600237697216
trace_interval,0,139,47,1785763600237593664,1785763600237593664,1785763600237697248
trace_interval,0,140,62,1785763600237593664,1785763600237593664,1785763600237697248
trace_interval,0,141,63,1785763600237593728,1785763600237593728,1785763600237697280
trace_interval,0,142,78,1785763600237593632,1785763600237593632,1785763600237697216
trace_interval,0,143,79,1785763600237593664,1785763600237593664,1785763600237697376
trace_interval,0,144,92,1785763600237593664,1785763600237593664,1785763600237697248
trace_interval,0,145,93,1785763600237593664,1785763600237593664,1785763600237697248
trace_interval,0,146,106,1785763600237593696,1785763600237593696,1785763600237697280
trace_interval,0,147,107,1785763600237593696,1785763600237593696,1785763600237697280
trace_interval,0,148,120,1785763600237593696,1785763600237593696,1785763600237697248
trace_interval,0,149,121,1785763600237593696,1785763600237593696,1785763600237697248
trace_interval,0,150,134,1785763600237593664,1785763600237593664,1785763600237697088
trace_interval,0,151,135,1785763600237593664,1785763600237593664,1785763600237697088
trace_interval,0,152,140,1785763600237593664,1785763600237593664,1785763600237697248
trace_interval,0,153,141,1785763600237593664,1785763600237593664,1785763600237697216
trace_interval,0,154,0,1785763600237593664,1785763600237593664,1785763600237697312
trace_interval,0,155,1,1785763600237593664,1785763600237593664,1785763600237697312
trace_interval,0,156,16,1785763600237593664,1785763600237593664,1785763600237697344
trace_interval,0,157,17,1785763600237593696,1785763600237593696,1785763600237697472
trace_interval,0,158,32,1785763600237593664,1785763600237593664,1785763600237697344
trace_interval,0,159,33,1785763600237593696,1785763600237593696,1785763600237697344
trace_interval,0,160,48,1785763600237593696,1785763600237593696,1785763600237697344
trace_interval,0,161,49,1785763600237593696,1785763600237593696,1785763600237697376
trace_interval,0,162,64,1785763600237593696,1785763600237593696,1785763600237697344
trace_interval,0,163,65,1785763600237593664,1785763600237593664,1785763600237697344
trace_interval,0,164,2,1785763600237593472,1785763600237593472,1785763600237697088
trace_interval,0,165,3,1785763600237593536,1785763600237593536,1785763600237697088
trace_interval,0,166,18,1785763600237593504,1785763600237593504,1785763600237697088
trace_interval,0,167,19,1785763600237593536,1785763600237593536,1785763600237697120
trace_interval,0,168,34,1785763600237593472,1785763600237593472,1785763600237697088
trace_interval,0,169,35,1785763600237593504,1785763600237593504,1785763600237697088
trace_interval,0,170,50,1785763600237593536,1785763600237593536,1785763600237697120
trace_interval,0,171,51,1785763600237593568,1785763600237593568,1785763600237697120
trace_interval,0,172,66,1785763600237593472,1785763600237593472,1785763600237697088
trace_interval,0,173,67,1785763600237593536,1785763600237593536,1785763600237697120
trace_interval,0,174,80,1785763600237593536,1785763600237593536,1785763600237697120
trace_interval,0,175,81,1785763600237593536,1785763600237593536,1785763600237697120
trace_interval,0,176,94,1785763600237593504,1785763600237593504,1785763600237697120
trace_interval,0,177,95,1785763600237593536,1785763600237593536,1785763600237697120
trace_interval,0,178,108,1785763600237593472,1785763600237593472,1785763600237697088
trace_interval,0,179,109,1785763600237593504,1785763600237593504,1785763600237697088
trace_interval,0,180,122,1785763600237593504,1785763600237593504,1785763600237697120
trace_interval,0,181,123,1785763600237593536,1785763600237593536,1785763600237697120
trace_interval,0,182,4,1785763600237593472,1785763600237593472,1785763600237697024
trace_interval,0,183,5,1785763600237593536,1785763600237593536,1785763600237697088
