Device: NVIDIA B200 | SMs=148 | SM clock~1.97 GHz | CC 10.0
Pilot semantics=2 tag=interval_d1_s101 structure=interval degree=1 effective_degree=1.00 tightness=1.0000 grid=148 ready=400000 tail=1000000 prologue=200000 epilogue=1000000 skew_bins=8 repeats=31 producer_occ=16 consumer_occ=10
mode                    median_ms       min_ms      valid
SAMPLE tag=interval_d1_s101 mode=interval-spin rep=20 ms=0.899776
SAMPLE tag=interval_d1_s101 mode=interval-spin rep=21 ms=0.901120
SAMPLE tag=interval_d1_s101 mode=interval-spin rep=22 ms=0.899200
SAMPLE tag=interval_d1_s101 mode=interval-spin rep=23 ms=0.899552
SAMPLE tag=interval_d1_s101 mode=interval-spin rep=24 ms=0.899680
SAMPLE tag=interval_d1_s101 mode=interval-spin rep=25 ms=0.900128
SAMPLE tag=interval_d1_s101 mode=interval-spin rep=26 ms=0.900928
SAMPLE tag=interval_d1_s101 mode=interval-spin rep=27 ms=0.899712
SAMPLE tag=interval_d1_s101 mode=interval-spin rep=28 ms=0.899872
SAMPLE tag=interval_d1_s101 mode=interval-spin rep=29 ms=0.899360
SAMPLE tag=interval_d1_s101 mode=interval-spin rep=30 ms=0.900768
interval-spin             0.89971      0.89898       PASS
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=0 ms=0.901728
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=1 ms=0.900352
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=2 ms=0.900288
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=3 ms=0.900352
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=4 ms=0.901152
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=5 ms=0.899360
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=6 ms=0.899584
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=7 ms=0.900544
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=8 ms=0.901696
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=9 ms=0.901216
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=10 ms=0.899648
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=11 ms=0.899808
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=12 ms=0.900768
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=13 ms=0.902208
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=14 ms=0.901152
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=15 ms=0.899808
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=16 ms=0.900672
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=17 ms=0.901952
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=18 ms=0.901888
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=19 ms=0.901728
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=20 ms=0.901184
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=21 ms=0.901440
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=22 ms=0.901408
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=23 ms=0.899040
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=24 ms=0.902752
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=25 ms=0.901184
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=26 ms=0.900160
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=27 ms=0.900320
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=28 ms=0.900864
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=29 ms=0.901888
SAMPLE tag=interval_d1_s101 mode=interval-backoff rep=30 ms=0.902112
interval-backoff          0.90115      0.89904       PASS
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=0 ms=0.899904
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=1 ms=0.899232
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=2 ms=0.901248
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=3 ms=0.901024
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=4 ms=0.899968
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=5 ms=0.899296
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=6 ms=0.901408
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=7 ms=0.899392
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=8 ms=0.899680
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=9 ms=0.900704
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=10 ms=0.900544
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=11 ms=0.899872
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=12 ms=0.901664
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=13 ms=0.901376
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=14 ms=0.901056
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=15 ms=0.901216
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=16 ms=0.901376
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=17 ms=0.901216
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=18 ms=0.900896
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=19 ms=0.901472
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=20 ms=0.899840
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=21 ms=0.899424
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=22 ms=0.901280
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=23 ms=0.901280
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=24 ms=0.901440
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=25 ms=0.900224
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=26 ms=0.900032
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=27 ms=0.900896
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=28 ms=0.901312
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=29 ms=0.901056
SAMPLE tag=interval_d1_s101 mode=exact-backoff rep=30 ms=0.901504
exact-backoff             0.90102      0.89923       PASS
BRACKET floor=1.40886 ceiling=0.89830 space=36.239% impl=interval-backoff impl_ms=0.90115 captured=36.037% of_space=99.4%
SUMMARY_PILOT semantics=2 tag=interval_d1_s101 structure=interval degree=1 eff_degree=1.00 tightness=1.0000 producers=148 consumers=148 threads=128 sms=148 producer_occ=16 consumer_occ=10 trigger_floor=ready trigger_impl=entry trigger_ceiling=entry ready=400000 tail=1000000 prologue=200000 epilogue=1000000 skew_bins=8 repeats=31 floor_ms=1.408864 ceiling_ms=0.898304 interval_spin_ms=0.899712 interval_backoff_ms=0.901152 exact_backoff_ms=0.901024 impl=interval-backoff impl_ms=0.901152 space_pct=36.2391 captured_pct=36.0370 of_space_pct=99.442 valid=1
Device: NVIDIA B200 | SMs=148 | SM clock~1.97 GHz | CC 10.0
Pilot semantics=2 tag=interval_d8_s101 structure=interval degree=8 effective_degree=8.00 tightness=1.0000 grid=148 ready=400000 tail=1000000 prologue=200000 epilogue=1000000 skew_bins=8 repeats=31 producer_occ=16 consumer_occ=10
mode                    median_ms       min_ms      valid
SAMPLE tag=interval_d8_s101 mode=none rep=0 ms=0.898816
SAMPLE tag=interval_d8_s101 mode=none rep=1 ms=0.897216
SAMPLE tag=interval_d8_s101 mode=none rep=2 ms=0.898752
SAMPLE tag=interval_d8_s101 mode=none rep=3 ms=0.899296
SAMPLE tag=interval_d8_s101 mode=none rep=4 ms=0.899456
SAMPLE tag=interval_d8_s101 mode=none rep=5 ms=0.898048
SAMPLE tag=interval_d8_s101 mode=none rep=6 ms=0.898848
SAMPLE tag=interval_d8_s101 mode=none rep=7 ms=0.897440
SAMPLE tag=interval_d8_s101 mode=none rep=8 ms=0.897920
SAMPLE tag=interval_d8_s101 mode=none rep=9 ms=0.897760
SAMPLE tag=interval_d8_s101 mode=none rep=10 ms=0.898176
SAMPLE tag=interval_d8_s101 mode=none rep=11 ms=0.896480
SAMPLE tag=interval_d8_s101 mode=none rep=12 ms=0.897280
SAMPLE tag=interval_d8_s101 mode=none rep=13 ms=0.897888
SAMPLE tag=interval_d8_s101 mode=none rep=14 ms=0.897728
SAMPLE tag=interval_d8_s101 mode=none rep=15 ms=0.897312
SAMPLE tag=interval_d8_s101 mode=none rep=16 ms=0.897408
SAMPLE tag=interval_d8_s101 mode=none rep=17 ms=0.897408
SAMPLE tag=interval_d8_s101 mode=none rep=18 ms=0.899360
SAMPLE tag=interval_d8_s101 mode=none rep=19 ms=0.899104
SAMPLE tag=interval_d8_s101 mode=none rep=20 ms=0.899328
SAMPLE tag=interval_d8_s101 mode=none rep=21 ms=0.898464
SAMPLE tag=interval_d8_s101 mode=none rep=22 ms=0.897472
SAMPLE tag=interval_d8_s101 mode=none rep=23 ms=0.897408
SAMPLE tag=interval_d8_s101 mode=none rep=24 ms=0.899648
SAMPLE tag=interval_d8_s101 mode=none rep=25 ms=0.897408
SAMPLE tag=interval_d8_s101 mode=none rep=26 ms=0.899136
SAMPLE tag=interval_d8_s101 mode=none rep=27 ms=0.897152
SAMPLE tag=interval_d8_s101 mode=none rep=28 ms=0.897824
SAMPLE tag=interval_d8_s101 mode=none rep=29 ms=0.897536
SAMPLE tag=interval_d8_s101 mode=none rep=30 ms=0.898048
none                      0.89789      0.89648        n/a
SAMPLE tag=interval_d8_s101 mode=grid rep=0 ms=1.408448
SAMPLE tag=interval_d8_s101 mode=grid rep=1 ms=1.408000
SAMPLE tag=interval_d8_s101 mode=grid rep=2 ms=1.408480
SAMPLE tag=interval_d8_s101 mode=grid rep=3 ms=1.408384
SAMPLE tag=interval_d8_s101 mode=grid rep=4 ms=1.409184
SAMPLE tag=interval_d8_s101 mode=grid rep=5 ms=1.409632
SAMPLE tag=interval_d8_s101 mode=grid rep=6 ms=1.409600
SAMPLE tag=interval_d8_s101 mode=grid rep=7 ms=1.409216
SAMPLE tag=interval_d8_s101 mode=grid rep=8 ms=1.407872
SAMPLE tag=interval_d8_s101 mode=grid rep=9 ms=1.408416
SAMPLE tag=interval_d8_s101 mode=grid rep=10 ms=1.409760
SAMPLE tag=interval_d8_s101 mode=grid rep=11 ms=1.407904
SAMPLE tag=interval_d8_s101 mode=grid rep=12 ms=1.409440
SAMPLE tag=interval_d8_s101 mode=grid rep=13 ms=1.408064
SAMPLE tag=interval_d8_s101 mode=grid rep=14 ms=1.409440
SAMPLE tag=interval_d8_s101 mode=grid rep=15 ms=1.407904
SAMPLE tag=interval_d8_s101 mode=grid rep=16 ms=1.408512
SAMPLE tag=interval_d8_s101 mode=grid rep=17 ms=1.408544
SAMPLE tag=interval_d8_s101 mode=grid rep=18 ms=1.409280
SAMPLE tag=interval_d8_s101 mode=grid rep=19 ms=1.408480
SAMPLE tag=interval_d8_s101 mode=grid rep=20 ms=1.409408
SAMPLE tag=interval_d8_s101 mode=grid rep=21 ms=1.409472
SAMPLE tag=interval_d8_s101 mode=grid rep=22 ms=1.409376
SAMPLE tag=interval_d8_s101 mode=grid rep=23 ms=1.409536
SAMPLE tag=interval_d8_s101 mode=grid rep=24 ms=1.407936
SAMPLE tag=interval_d8_s101 mode=grid rep=25 ms=1.409536
SAMPLE tag=interval_d8_s101 mode=grid rep=26 ms=1.409568
SAMPLE tag=interval_d8_s101 mode=grid rep=27 ms=1.408160
SAMPLE tag=interval_d8_s101 mode=grid rep=28 ms=1.409600
SAMPLE tag=interval_d8_s101 mode=grid rep=29 ms=1.409856
SAMPLE tag=interval_d8_s101 mode=grid rep=30 ms=1.410336
grid                      1.40922      1.40787       PASS
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=0 ms=0.901888
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=1 ms=0.900864
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=2 ms=0.901056
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=3 ms=0.900352
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=4 ms=0.902656
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=5 ms=0.902528
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=6 ms=0.901920
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=7 ms=0.901024
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=8 ms=0.901472
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=9 ms=0.901312
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=10 ms=0.901024
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=11 ms=0.901472
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=12 ms=0.901344
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=13 ms=0.902400
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=14 ms=0.902144
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=15 ms=0.902208
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=16 ms=0.902336
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=17 ms=0.901344
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=18 ms=0.901600
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=19 ms=0.901632
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=20 ms=0.903104
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=21 ms=0.901536
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=22 ms=0.902336
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=23 ms=0.901408
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=24 ms=0.901280
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=25 ms=0.901632
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=26 ms=0.901536
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=27 ms=0.902272
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=28 ms=0.902304
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=29 ms=0.902400
SAMPLE tag=interval_d8_s101 mode=interval-spin rep=30 ms=0.902304
interval-spin             0.90163      0.90035       PASS
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=0 ms=0.903872
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=1 ms=0.903456
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=2 ms=0.902272
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=3 ms=0.902976
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=4 ms=0.903552
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=5 ms=0.903520
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=6 ms=0.903296
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=7 ms=0.902112
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=8 ms=0.903008
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=9 ms=0.902336
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=10 ms=0.901728
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=11 ms=0.902624
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=12 ms=0.903712
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=13 ms=0.903968
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=14 ms=0.903712
SAMPLE tag=interval_d8_s101 mode=interval-backoff rep=15 ms=0.902208
